Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
SUBURBAN COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
UPMC BEDFORD MEMORIAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BRADFORD REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Below the national average
MOSES TAYLOR HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,1.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
POTTSTOWN MEMORIAL MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,1.0,Below the national average,Same as the national average,Same as the national average,Below the national average
WAYNE MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
PHOENIXVILLE HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
CONEMAUGH MINERS MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
LEHIGH VALLEY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
WILKES-BARRE GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
WAYNESBORO HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
ALBERT EINSTEIN MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
EXCELA HEALTH WESTMORELAND HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
WARREN GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MONONGAHELA VALLEY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
WASHINGTON HEALTH SYSTEM GREENE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
CHAMBERSBURG HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
MAIN LINE HOSPITAL PAOLI,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Same as the national average,Same as the national average,Above the national average
MERCY FITZGERALD HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
OHIO VALLEY GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
CANONSBURG GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
EASTON HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ACMH HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average
UPMC PRESBYTERIAN SHADYSIDE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Above the national average,Same as the national average,Same as the national average
BUTLER MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average
INDIANA REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Above the national average,Below the national average,Above the national average
UPMC HORIZON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Above the national average,Same as the national average,Below the national average
CHESTER COUNTY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Same as the national average,Below the national average,Above the national average
CROZER CHESTER MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
ST LUKE'S MINERS MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
HIGHLANDS HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
LEHIGH VALLEY HOSPITAL - HAZLETON,PA,Acute Care Hospitals,Government - Local,Yes,4.0,Same as the national average,Below the national average,Same as the national average,Below the national average
TYLER MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BLUE MOUNTAIN HOSPITAL-GNADEN HUETTEN CAMPUS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MAIN LINE HOSPITAL LANKENAU,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
SACRED HEART HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MILLCREEK COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
PUNXSUTAWNEY AREA HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
LEHIGH VALLEY HOSPITAL - POCONO,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Below the national average,Below the national average,Same as the national average
DOYLESTOWN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Below the national average,Above the national average
NAZARETH HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SHARON REGIONAL HEALTH SYSTEM,PA,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
EXCELA HEALTH FRICK HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
EXCELA HEALTH LATROBE HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Above the national average,Above the national average
JENNERSVILLE REGIONAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
RIDDLE MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
PENN PRESBYTERIAN MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
WELLSPAN EPHRATA COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
PENNSYLVANIA HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
ST CLAIR HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Above the national average,Above the national average,Above the national average
ABINGTON MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
HANOVER HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
GUTHRIE TOWANDA MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
REGIONAL HOSPITAL OF SCRANTON,PA,Acute Care Hospitals,Voluntary non-profit - Church,No,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MILTON S HERSHEY MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
ST MARY MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Below the national average,Same as the national average,Below the national average,Above the national average
LEHIGH VALLEY HOSPITAL - MUHLENBERG,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Below the national average,Below the national average,Same as the national average
